,State/UT,Wheat,unit
2013,Assam,40.4,000 Tonnes
2013,Bihar,4738,000 Tonnes
2013,Chhattisgarh,134,000 Tonnes
2013,Gujarat,4694,000 Tonnes
2013,Haryana,11800,000 Tonnes
2013,Himachal Pradesh,670.7,000 Tonnes
2013,Jammu & Kashmir,601.9,000 Tonnes
2013,Jharkhand,370.4,000 Tonnes
2013,Karnataka,210,000 Tonnes
2013,Madhya Pradesh,12937,000 Tonnes
2013,Maharashtra,1602,000 Tonnes
2013,Punjab,17620,000 Tonnes
2013,Rajasthan,8663.2,000 Tonnes
2013,Uttar Pradesh,29890.9,000 Tonnes
2013,Uttarakhand,842.4,000 Tonnes
2013,West Bengal,927.8,000 Tonnes
2014,Assam,44,000 Tonnes
2014,Bihar,4875.9,000 Tonnes
2014,Chhattisgarh,136.1,000 Tonnes
2014,Gujarat,3695,000 Tonnes
2014,Haryana,11399,000 Tonnes
2014,Himachal Pradesh,559.1,000 Tonnes
2014,Jammu & Kashmir,581.9,000 Tonnes
2014,Jharkhand,345.3,000 Tonnes
2014,Karnataka,147,000 Tonnes
2014,Madhya Pradesh,14515.1,000 Tonnes
2014,Maharashtra,956,000 Tonnes
2014,Punjab,16800,000 Tonnes
2014,Rajasthan,9032,000 Tonnes
2014,Uttar Pradesh,30716,000 Tonnes
2014,Uttarakhand,908,000 Tonnes
2014,West Bengal,938,000 Tonnes
